71	2010-08-03T14:28:34.573	669	656	1
84	2010-08-04T21:00:24.457	454	320	1
89	2010-08-05T08:58:06.243	631	868	1
175	2010-08-07T14:39:40.197	154	80	1
182	2010-08-08T00:36:22.513	1633	1598	1
184	2010-08-08T11:51:19.510	1672	1237	1
188	2010-08-09T12:15:41.017	1571	1557	1
211	2010-08-10T23:02:38.003	1863	1175	1
300	2010-08-14T10:19:55.410	505	427	1
315	2010-08-15T15:06:42.793	1802	374	1
321	2010-08-15T21:51:46.783	1991	2271	1
352	2010-08-17T02:11:03.813	2443	2368	1
355	2010-08-17T07:44:42.910	2424	2271	1
383	2010-08-17T21:18:41.580	2473	974	1
420	2010-08-20T07:01:21.997	2408	2582	1
444	2010-08-20T16:35:36.627	2628	2392	1
445	2010-08-20T16:51:56.310	1318	307	1
537	2010-08-27T23:50:08.940	3189	1385	1
540	2010-08-29T18:58:38.290	2335	629	1
541	2010-08-29T18:58:38.290	2335	628	1
550	2010-08-31T22:38:19.883	3377	3348	1
570	2010-09-01T18:03:35.243	3426	2522	1
22135	2010-09-09T17:16:28.077	3913	1277	1
28015	2010-09-11T04:48:32.187	3949	3934	1
28016	2010-09-11T04:48:32.187	3949	1277	1
35566	2010-09-13T12:20:35.730	4097	4098	1
37213	2010-09-13T19:39:27.127	1895	69	1
37478	2010-09-13T20:44:17.233	3929	4000	1
39457	2010-09-14T14:30:55.613	3982	2596	1
39506	2010-09-14T15:12:08.253	3450	2672	1
44470	2010-09-16T14:24:34.760	3856	2631	1
46736	2010-09-17T15:36:50.627	1751	765	1
50905	2010-09-19T10:43:26.663	4362	3673	1
51515	2010-09-19T17:27:52.753	4360	1974	1
58805	2010-09-22T09:01:11.173	4263	4266	1
63100	2010-09-23T20:28:12.067	4530	4408	1
66101	2010-09-24T20:52:55.470	3394	3348	1
66295	2010-09-24T21:52:51.850	4719	1743	1
68723	2010-09-26T06:11:54.647	4762	4765	1
71655	2010-09-28T00:14:35.627	4769	4628	1
79578	2010-10-01T07:10:37.210	426	427	1
85170	2010-10-03T19:45:05.033	4717	2194	1
89243	2010-10-05T15:00:36.517	5082	5138	1
89438	2010-10-05T16:03:02.173	5209	5203	1
89728	2010-10-05T17:14:34.550	5230	3	1
90456	2010-10-06T01:34:53.813	5145	906	1
92744	2010-10-07T00:13:22.157	5270	723	1
92913	2010-10-07T01:27:13.237	5283	897	1
93519	2010-10-07T11:07:43.500	5138	5082	1
93520	2010-10-07T11:07:43.500	5138	4662	1
95316	2010-10-08T04:50:51.010	5328	2301	1
95779	2010-10-08T09:56:41.977	5342	41	1
99483	2010-10-10T00:08:16.053	2659	1637	1
101517	2010-10-10T07:16:55.137	5490	4983	1
101840	2010-10-10T08:03:58.373	5506	5433	1
102349	2010-10-10T08:55:30.897	5530	5490	1
104517	2010-10-10T14:12:30.743	5435	96	1
105442	2010-10-10T15:47:02.297	5636	4502	1
105588	2010-10-10T15:59:38.670	5459	5567	1
105686	2010-10-10T16:06:21.420	5482	5484	1
105783	2010-10-10T16:14:34.403	5575	4942	1
107419	2010-10-10T18:30:48.673	5702	5121	1
107782	2010-10-10T19:12:43.487	5623	5257	1
107783	2010-10-10T19:12:43.487	5623	5178	1
108368	2010-10-10T20:08:42.183	5726	2194	1
111147	2010-10-11T00:55:39.517	5826	2194	1
111654	2010-10-11T02:20:15.053	5440	974	1
111655	2010-10-11T02:20:15.053	5440	3503	1
111900	2010-10-11T03:00:47.930	5855	5829	1
112409	2010-10-11T03:57:52.257	5865	5790	1
112581	2010-10-11T04:19:16.547	5720	5435	1
112775	2010-10-11T04:41:25.520	5363	3359	1
113355	2010-10-11T05:53:09.033	5876	131	1
114999	2010-10-11T12:10:10.083	5470	4983	1
115339	2010-10-11T12:50:22.317	5932	5304	1
118434	2010-10-11T18:01:14.037	6021	1400	1
124501	2010-10-12T02:17:26.780	6217	4314	1
124839	2010-10-12T02:52:56.463	6193	1874	1
125514	2010-10-12T04:01:56.030	5551	4119	1
131489	2010-10-12T15:16:32.887	6439	5853	1
131636	2010-10-12T15:26:26.313	6317	427	1
133498	2010-10-12T18:46:40.370	6339	4983	1
135886	2010-10-12T22:12:23.880	6584	5811	1
136133	2010-10-12T22:37:10.797	6595	6558	1
136792	2010-10-12T23:32:38.757	6490	247	1
137399	2010-10-13T00:30:26.057	5985	4942	1
143751	2010-10-13T14:40:42.323	6819	529	1
145159	2010-10-13T16:45:55.840	6309	1836	1
146449	2010-10-13T18:23:50.013	6906	5018	1
147099	2010-10-13T19:19:09.223	6897	1148	1
148414	2010-10-13T21:05:35.603	6948	6800	1
148747	2010-10-13T21:43:06.430	5522	131	1
151585	2010-10-14T03:55:36.513	7013	5938	1
151636	2010-10-14T04:04:30.203	7027	3378	1
151637	2010-10-14T04:05:16.180	6928	6842	1
152074	2010-10-14T05:02:37.303	5416	4983	1
152415	2010-10-14T05:55:54.573	7054	6698	1
155613	2010-10-14T13:42:53.027	5444	2045	1
