1	1	2	0
2	1	2	0
3	2	2	0
4	1	2	0
5	2	2	0
6	1	2	0
7	2	2	0
8	1	2	0
9	1	2	0
12	1	2	0
13	2	2	0
14	2	2	0
15	2	2	0
16	1	2	0
17	2	2	0
18	3	2	0
19	2	2	0
20	6	2	0
22	12	11	0
23	6	2	0
24	12	2	0
25	9	5	0
26	11	2	0
27	18	2	0
28	3	2	0
29	6	2	0
30	27	2	0
31	16	2	0
32	27	2	0
34	8	2	0
35	24	2	0
36	16	2	0
37	7	2	0
38	4	3	0
39	20	2	0
40	14	2	0
43	31	2	0
44	23	2	0
45	30	2	0
46	31	2	0
47	10	2	0
48	14	2	0
49	14	2	0
50	31	2	0
51	18	2	0
52	5	2	0
53	9	2	0
54	14	2	0
55	30	2	0
56	31	2	0
57	13	3	0
58	32	2	0
59	26	3	0
60	9	2	0
61	9	2	0
62	32	3	0
63	6	2	0
64	35	2	0
65	8	2	0
66	28	2	0
67	10	2	0
68	35	2	0
69	17	2	0
70	13	3	0
71	13	3	0
72	26	3	0
73	31	3	0
74	35	2	0
76	8	2	0
77	9	2	0
78	39	2	0
79	9	2	0
80	32	2	0
81	37	2	0
82	11	2	0
83	40	2	0
84	9	2	0
85	35	2	0
86	10	2	0
87	33	2	0
88	13	10	0
89	9	5	0
91	45	2	0
92	39	2	0
93	12	2	0
94	40	2	0
95	28	2	0
96	45	2	0
97	34	2	0
98	23	2	0
100	17	2	0
101	18	2	0
102	17	1	0
103	37	2	0
104	35	2	0
105	54	2	0
106	24	2	0
107	45	2	0
